"(12,12,12,12)","LaurentPolynomial"
"(0,0,0,0)","1"
"(0,1,0,1)","1-1/(q^3*t)"
"(0,2,0,2)","1-t/q^3"
"(0,3,0,3)","1-1/(q^3*t)"
"(0,4,0,3)","q^(-4)-1/(q*t)"
"(0,3,0,4)","q^(-6)-t/q^3"
"(0,4,0,4)","1-t/q^3"
"(0,5,0,5)","1-q^(-4)+1/(q^7*t)-1/(q^3*t)"
"(0,6,0,6)","1-q^(-4)+t/q^7-t/q^3"
"(0,7,0,7)","1-q^(-4)+1/(q^7*t)-1/(q^3*t)"
"(0,8,0,7)","q^(-6)-q^(-2)-1/(q^3*t)+q/t"
"(0,7,0,8)","q^(-10)-q^(-6)-t/q^7+t/q^3"
"(0,8,0,8)","1-q^(-4)+t/q^7-t/q^3"
"(0,9,0,9)","1+q^(-6)-q^(-4)-q^(-2)-1/(q^9*t)+1/(q^7*t)+1/(q^5*t)-1/(q^3*t)"
"(0,10,0,10)","1+q^(-6)-q^(-4)-q^(-2)-t/q^9+t/q^7+t/q^5-t/q^3"
"(0,11,0,11)","2+2/q^6-2/q^4-2/q^2-1/(q^9*t)+1/(q^7*t)+1/(q^5*t)-1/(q^3*t)-t/q^9+t/q^7+t/q^5-t/q^3"
"(0,1,1,0)","1/(q^3*t)"
"(0,3,1,2)","-q^(-6)+1/(q^3*t)"
"(0,4,1,2)","-q^(-4)+1/(q*t)"
"(0,5,1,3)","1/(q^7*t)-1/(q*t)"
"(0,5,1,4)","-q^(-6)+q^(-4)-1/(q^7*t)+1/(q^3*t)"
"(0,7,1,6)","q^(-10)-q^(-6)-1/(q^7*t)+1/(q^3*t)"
"(0,8,1,6)","-q^(-6)+q^(-2)+1/(q^3*t)-q/t"
"(0,9,1,7)","1/(q^9*t)-1/(q^5*t)-1/(q^3*t)+q/t"
"(0,9,1,8)","q^(-10)-2/q^6+q^(-2)+1/(q^9*t)-1/(q^7*t)-1/(q^5*t)+1/(q^3*t)"
