"(16,16,16,16)","ZZ"
"(0,0,0,0)","1"
"(0,1,0,1)","1-1/(q^2*t)"
"(0,2,0,2)","1-t/q^2"
"(0,3,0,3)","1-1/(q^2*t)"
"(0,4,0,3)","q^(-3)-1/(q*t)"
"(0,3,0,4)","q^(-4)-t/q^2"
"(0,4,0,4)","1-t/q^2"
"(0,5,0,5)","1-q^(-3)+1/(q^5*t)-1/(q^2*t)"
"(0,6,0,6)","1-q^(-3)+t/q^5-t/q^2"
"(0,7,0,7)","1-q^(-3)+1/(q^5*t)-1/(q^2*t)"
"(0,8,0,7)","q^(-5)-q^(-2)+t^(-1)-1/(q^3*t)"
"(0,7,0,8)","q^(-7)-q^(-4)-t/q^5+t/q^2"
"(0,8,0,8)","1-q^(-3)+t/q^5-t/q^2"
"(0,9,0,9)","1+q^(-5)-q^(-3)-q^(-2)-1/(q^7*t)+1/(q^5*t)+1/(q^4*t)-1/(q^2*t)"
"(0,10,0,10)","1+q^(-5)-q^(-3)-q^(-2)-t/q^7+t/q^5+t/q^4-t/q^2"
"(0,11,0,11)","1+q^(-5)-q^(-3)-q^(-2)-1/(q^7*t)+1/(q^5*t)+1/(q^4*t)-1/(q^2*t)"
"(0,12,0,11)","q^(-6)-q^(-4)-q^(-3)+q^(-1)-1/(q^4*t)+1/(q^2*t)+1/(q*t)-q/t"
"(0,11,0,12)","q^(-9)-q^(-7)-q^(-6)+q^(-4)-t/q^7+t/q^5+t/q^4-t/q^2"
"(0,12,0,12)","1+q^(-5)-q^(-3)-q^(-2)-t/q^7+t/q^5+t/q^4-t/q^2"
"(0,13,0,13)","1-q^(-6)+q^(-5)+q^(-4)-q^(-2)-q^(-1)+1/(q^8*t)-1/(q^7*t)-1/(q^6*t)+1/(q^4*t)+1/(q^3*t)-1/(q^2*t)"
"(0,14,0,14)","1-q^(-6)+q^(-5)+q^(-4)-q^(-2)-q^(-1)+t/q^8-t/q^7-t/q^6+t/q^4+t/q^3-t/q^2"
"(0,15,0,15)","2-2/q^6+2/q^5+2/q^4-2/q^2-2/q+1/(q^8*t)-1/(q^7*t)-1/(q^6*t)+1/(q^4*t)+1/(q^3*t)-1/(q^2*t)+t/q^8-t/q^7-t/q^6+t/q^4+t/q^3-t/q^2"
"(0,1,1,0)","1/(q^2*t)"
"(0,3,1,2)","-q^(-4)+1/(q^2*t)"
"(0,4,1,2)","-q^(-3)+1/(q*t)"
"(0,5,1,3)","1/(q^5*t)-1/(q*t)"
"(0,5,1,4)","-q^(-4)+q^(-3)-1/(q^5*t)+1/(q^2*t)"
"(0,7,1,6)","q^(-7)-q^(-4)-1/(q^5*t)+1/(q^2*t)"
"(0,8,1,6)","-q^(-5)+q^(-2)-t^(-1)+1/(q^3*t)"
"(0,9,1,7)","t^(-1)+1/(q^7*t)-1/(q^4*t)-1/(q^3*t)"
"(0,9,1,8)","q^(-7)-q^(-5)-q^(-4)+q^(-2)+1/(q^7*t)-1/(q^5*t)-1/(q^4*t)+1/(q^2*t)"
"(0,11,1,10)","-q^(-9)+q^(-7)+q^(-6)-q^(-4)+1/(q^7*t)-1/(q^5*t)-1/(q^4*t)+1/(q^2*t)"
"(0,12,1,10)","-q^(-6)+q^(-4)+q^(-3)-q^(-1)+1/(q^4*t)-1/(q^2*t)-1/(q*t)+q/t"
"(0,13,1,11)","1/(q^8*t)-1/(q^6*t)-1/(q^5*t)-1/(q^4*t)+1/(q^3*t)+1/(q^2*t)+1/(q*t)-q/t"
"(0,13,1,12)","-q^(-9)+q^(-7)+2/q^6-2/q^4-q^(-3)+q^(-1)-1/(q^8*t)+1/(q^7*t)+1/(q^6*t)-1/(q^4*t)-1/(q^3*t)+1/(q^2*t)"
"(0,15,1,14)","-1+q^(-10)-q^(-9)-q^(-8)+2/q^6-2/q^4+q^(-2)+q^(-1)-1/(q^8*t)+1/(q^7*t)+1/(q^6*t)-1/(q^4*t)-1/(q^3*t)+1/(q^2*t)-t/q^8+t/q^7+t/q^6-t/q^4-t/q^3+t/q^2"
"(0,2,2,0)","t/q^2"
"(0,3,2,1)","-q^(-4)+t/q^2"
"(0,4,2,1)","-q^(-4)+t/q^2"
"(0,6,2,3)","-q^(-4)+q^(-3)-t/q^5+t/q^2"
"(0,6,2,4)","t/q^6-t/q^2"
"(0,7,2,5)","-q^(-7)+q^(-4)+t/q^5-t/q^2"
"(0,8,2,5)","q^(-7)-q^(-4)-t/q^5+t/q^2"
"(0,10,2,7)","q^(-7)-q^(-5)-q^(-4)+q^(-2)+t/q^7-t/q^5-t/q^4+t/q^2"
