"(4,4,4,4)","LaurentPolynomial"
"(0,0,0,0)","1"
"(0,1,1,0)","1"
"(0,2,2,0)","1"
"(0,3,3,0)","1"
"(1,0,0,1)","q*t"
"(1,0,1,0)","1-q*t"
"(1,1,1,1)","-(q*t)"
"(1,2,2,1)","t/q"
"(1,2,3,0)","1"
"(1,3,3,1)","-(t/q)"
"(2,0,0,2)","q/t"
"(2,1,1,2)","q/t"
"(2,0,2,0)","1-q/t"
"(2,2,2,2)","-(q/t)"
"(2,1,3,0)","-(q/t)"
"(2,3,3,2)","-(q/t)"
"(3,0,0,3)","q^2"
"(3,0,1,2)","-1-q^2+q/t+q*t"
"(3,1,1,3)","-q^2"
"(3,0,2,1)","-1+t/q+q*t-t^2"
"(3,2,2,3)","-1"
"(3,0,3,0)","2-q/t-q*t"
"(3,1,3,1)","1-q*t"
"(3,2,3,2)","1-q/t"
"(3,3,3,3)","1"
