"(8,8,8,8)","LaurentPolynomial"
"(0,0,0,0)","1"
"(0,1,1,0)","1"
"(0,2,2,0)","1"
"(0,3,3,0)","1"
"(0,4,4,0)","1"
"(0,5,5,0)","1"
"(0,6,6,0)","1"
"(0,7,7,0)","1"
"(1,0,0,1)","q*t"
"(1,0,1,0)","1-q*t"
"(1,1,1,1)","-(q*t)"
"(1,2,2,1)","t"
"(1,2,3,0)","1"
"(1,3,3,1)","-t"
"(1,2,4,0)","-t"
"(1,4,4,1)","-t"
"(1,3,5,0)","t"
"(1,4,5,0)","1"
"(1,5,5,1)","t"
"(1,6,6,1)","-(t/q)"
"(1,6,7,0)","1"
"(1,7,7,1)","t/q"
"(2,0,0,2)","q/t"
"(2,1,1,2)","q/t"
"(2,0,2,0)","1-q/t"
"(2,2,2,2)","-(q/t)"
"(2,1,3,0)","-(q/t)"
"(2,3,3,2)","-(q/t)"
"(2,1,4,0)","1"
"(2,4,4,2)","-(q/t)"
"(2,5,5,2)","-(q/t)"
"(2,3,6,0)","1"
"(2,4,6,0)","q/t"
"(2,6,6,2)","q/t"
"(2,5,7,0)","q/t"
"(2,7,7,2)","q/t"
"(3,0,0,3)","q^2"
"(3,0,1,2)","-q^2+q/t"
"(3,1,1,3)","-q^2"
"(3,0,2,1)","-q+t"
"(3,2,2,3)","-q"
"(3,0,3,0)","1-q/t"
"(3,1,3,1)","q"
"(3,2,3,2)","-(q/t)"
"(3,3,3,3)","q"
"(3,0,4,0)","q-t"
"(3,1,4,1)","-t"
"(3,2,4,2)","q"
"(3,4,4,3)","q"
"(3,1,5,0)","1-q"
"(3,3,5,2)","-q"
"(3,4,5,2)","-(q/t)"
"(3,5,5,3)","-q"
"(3,3,6,1)","-(t/q)"
"(3,4,6,1)","-1"
"(3,6,6,3)","-1"
"(3,3,7,0)","1"
"(3,4,7,0)","q/t"
"(3,5,7,1)","1"
"(3,6,7,2)","q/t"
"(3,7,7,3)","1"
"(4,0,0,4)","q^2"
"(4,0,1,2)","-q^2+q/t"
"(4,1,1,4)","-q^2"
"(4,0,2,1)","-q^2+q*t"
"(4,2,2,4)","-q"
"(4,0,3,0)","q^2-q/t"
"(4,1,3,1)","q^2"
"(4,2,3,2)","-(q/t)"
"(4,3,3,4)","q"
"(4,0,4,0)","1-q*t"
"(4,1,4,1)","-(q*t)"
"(4,2,4,2)","q"
"(4,4,4,4)","q"
"(4,3,5,2)","-q"
"(4,4,5,2)","-(q/t)"
"(4,5,5,4)","-q"
"(4,2,6,0)","1-q"
"(4,3,6,1)","-t"
"(4,4,6,1)","-q"
"(4,6,6,4)","-1"
"(4,3,7,0)","q"
"(4,4,7,0)","q/t"
"(4,5,7,1)","q"
"(4,6,7,2)","q/t"
"(4,7,7,4)","1"
"(5,0,0,5)","q^3*t"
"(5,0,1,3)","-q^2+q^3*t"
"(5,0,1,4)","q^2-q^3*t"
"(5,1,1,5)","q^3*t"
"(5,2,2,5)","-(q*t)"
"(5,0,3,1)","q-q^2+q*t-q^2*t"
"(5,2,3,3)","q"
"(5,2,3,4)","-q"
"(5,3,3,5)","-(q*t)"
"(5,0,4,1)","-t+q^2*t"
"(5,2,4,3)","-(q*t)"
"(5,2,4,4)","q*t"
"(5,4,4,5)","-(q*t)"
"(5,0,5,0)","1-q-q*t+q^2*t"
"(5,1,5,1)","-(q*t)+q^2*t"
"(5,3,5,3)","-(q*t)"
"(5,4,5,3)","-q"
"(5,3,5,4)","q*t"
"(5,4,5,4)","q"
"(5,5,5,5)","-(q*t)"
"(5,2,6,1)","t-t/q"
"(5,6,6,5)","t/q"
"(5,2,7,0)","1-q"
"(5,4,7,1)","1-q"
"(5,6,7,3)","1"
"(5,6,7,4)","-1"
"(5,7,7,5)","t/q"
"(6,0,0,6)","q^3/t"
"(6,1,1,6)","-(q^3/t)"
"(6,0,2,3)","q^2-q^3/t"
"(6,0,2,4)","-q+q^2/t"
"(6,2,2,6)","q^2/t"
"(6,0,3,2)","-(q/t)+q^3/t"
"(6,1,3,3)","q^3/t"
"(6,1,3,4)","-(q^2/t)"
"(6,3,3,6)","-(q^2/t)"
"(6,0,4,2)","q-q^2+q/t-q^2/t"
"(6,1,4,3)","-q^2"
"(6,1,4,4)","q"
"(6,4,4,6)","-(q^2/t)"
"(6,1,5,2)","-(q/t)+q^2/t"
"(6,5,5,6)","q^2/t"
"(6,0,6,0)","1-q-q/t+q^2/t"
"(6,2,6,2)","-(q/t)+q^2/t"
"(6,3,6,3)","q"
"(6,4,6,3)","q^2/t"
"(6,3,6,4)","-1"
"(6,4,6,4)","-(q/t)"
"(6,6,6,6)","-(q/t)"
"(6,1,7,0)","q/t-q^2/t"
"(6,3,7,2)","q/t-q^2/t"
"(6,5,7,3)","-(q^2/t)"
"(6,5,7,4)","q/t"
"(6,7,7,6)","q/t"
"(7,0,0,7)","q^4"
"(7,0,1,6)","-q^2-q^4+q^3/t+q^3*t"
"(7,1,1,7)","q^4"
"(7,0,2,5)","q^2-q*t-q^3*t+q^2*t^2"
"(7,2,2,7)","q^2"
"(7,0,3,3)","q+2*q^2-q^3-q^3/t-q^3*t"
"(7,0,3,4)","-2*q+q^2/t-q*t+q^2*t+q^3*t"
"(7,1,3,5)","q^2-q^3*t"
"(7,2,3,6)","-q+q^2/t"
"(7,3,3,7)","q^2"
"(7,0,4,3)","-q+q^2+q^3-2*q*t+q^2*t^2"
"(7,0,4,4)","-q^2+t+2*q*t-q^2*t-q^2*t^2"
"(7,1,4,5)","-(q*t)+q^2*t^2"
"(7,2,4,6)","-q^2+q*t"
"(7,4,4,7)","q^2"
"(7,0,5,2)","-1+q-q^2+q^3+q/t-q^2/t+q*t-q^2*t"
"(7,1,5,3)","-q+q^3"
"(7,1,5,4)","q-q^2+q*t-q^2*t"
"(7,3,5,6)","-q^2+q*t"
